Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,IFNg_serum,IgE_serum,IgG1_serum,IgG2a_serum,IL.4_serum,IL.5_serum,IL.10_serum,IFNg_Ag.MLN.stim,IFN_CD3.MLN.stim,IFN_Media.MLN.stim,IL.5_Media.MLN.stim,IL.5_Ag.MLN.stim,IL.5_CD3.MLN.stim,IL.10_Media.MLN.stim,IL.10_CD.MLN.stim,IL.10_Ag.MLN.stim,IL.17.Media.MLN.stim,IL.17_CD.MLN.stim,IL.17_Ag.MLN.stim,wean.BW,FinalBW,ADWG,ADWG.expt,ADWG.expt.diet,spleen.wt,Gut.wt,Spl_BW,Gut_BW,colon.contents,wet.carcass.wt,dry.carcass.wt,Fat_,GAPDH_qPCR.gut,Arg1_qPCR.gut,CD36_qPCR.gut,Idlr_qPCR.gut,iNOS_qPCR.gut,PPARg1.2_qPCR.gut,RELMa_qPCR.gut,Arg1_qPCR.spleen,CD36_qPCR.spleen,GAPDH_qPCR.spleen,Idlr_qPCR.spleen,iNOS_qPCR.spleen,PPARg1.2_qPCR.spleen,RELMa_qPCR.spleen,Total.worms
SB-105,73,ROL,1_1,1,1,LP,21,0,0.484,11.72804491,5.993961427,0,0,0,0,2.612,0,0,0.244,0.927,0.071,0.519,0.199,0,0.411,0,6.29,14.89,0.261,0.142,0.083,0.054,0.937,3.627,62.928,0.1,13.28,4.9,11.494,0.432,0,0.127,0.005,0.007,0.081,0.005,0.456,0.031,0.333,1.1,0.132,0.107,0.004,35
SB-105,74,ROH,1_0,1,0,HP,21,0,0.074,8.764209507,5.993961427,0.13,0,0,0,9.733,0,0,0,0.713,0,0.566,0,0,4.668,0,9.91,43.73,1.025,0.937,1.477,0.153,1.685,3.499,38.532,0.17,40.09,15.7,14.053,0.018,0,0,0.013,0,0,0.003,0.715,0.072,0.592,4.495,0.13,0.479,0.065,0
SB-105,75,ROL,0_1,0,1,HP,9,0,0.147,8.07121854,0,0,0,0,3.858,11.659,4.034,0.086,1.238,5.746,0,2.873,0.6,0,1.244,0,5.53,16.62,0.336,0.186,0.11,0.098,0.88,5.897,52.948,0.09,15.94,5,5.245,2.17,0.016,0.416,22.35,0.202,0.13,0.005,0.389,0.015,0.243,0.78,0.089,0.094,0.04,9
SB-105,76,ROL,1_1,1,1,LP,9,0,0.273,5.993961427,0,0,0.03,0,0,0.891,0.817,0,0.165,1.443,0.057,0.857,0.071,0,0.606,0,7.62,13.12,0.167,0.013,0.06,0.048,0.658,3.666,50.152,0.14,12.65,4.6,10.891,0.411,0,0.11,0.168,0.049,0.034,0.002,0.349,0.054,0.4,2.615,0.188,0.141,0.01,1
SB-105,77,ROL,0_1,0,1,LP,21,0,0.258,5.993961427,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0,0,7.83,15.53,0.233,0.278,0.183,0.039,0.617,2.511,39.73,0.03,14.47,5.6,13.532,0.434,0,0.018,3.135,0.047,0.039,0.001,0.269,0.066,0.354,1.335,0.124,0.179,0.013,14
SB-105,78,ROL,0_1,0,1,HP,21,0,0.232,6.685860947,0,0,0,0,0,2.137,0,0,0.188,0.211,0,0.217,0,0,0,0,7.03,17.05,0.304,0.167,0.157,0.045,0.768,2.639,45.044,0.01,15.43,5.8,12.276,0.465,0,0.017,2.435,0.064,0.023,0.001,0.296,0.076,0.262,2.17,0.138,0.379,0.025,14
SB-105,79,ROL,1_1,1,1,HP,21,0,0.407,8.764209507,0,0.536,0,0,0,3.304,0,0.026,0,1.249,0.077,0.735,0.091,0,0.155,0,5.54,14.62,0.275,0.135,0.211,0.07,0.884,4.774,60.465,0.09,13.11,4.3,6.863,0.411,0.017,0.119,0.057,0.041,0.027,0.025,0.141,0.227,0.414,3.835,0.259,0.764,0.007,14
SB-105,80,ROH,0_1,0,1,HP,9,0,0.012,0,5.993961427,0,0,0,0,0,0,0.015,0.024,1.6,0.551,4.517,0,0,0,0,11.07,41.41,0.919,0.787,0.875,0.167,2.323,4.033,56.098,0.19,37.82,15,14.618,0.144,0,0,0.724,0.007,0.009,0.003,1.054,0.16,0.908,0.92,0.104,0.948,0.021,24
SB-105,81,ROH,0_0,0,0,LP,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,35.65,0.806,0.632,0.438,0.075,1.428,2.104,40.056,0.07,33.25,14.2,18.059,0.004,0,0,0.015,0.016,0,0,1.25,0.095,0.489,1.785,0.091,0.449,0.015,0
SB-105,82,ROH,1_1,1,1,LP,21,0,0.405,13.11433322,9.457278572,0,0,0,0,1.138,0,0,0,3.677,0,6.392,0,0,0,0,8.19,20.02,0.358,0.075,-0.323,0.082,2.295,4.096,114.635,0.18,17.55,5.7,6.501,0.125,0.02,0.09,0.015,0.026,0.01,0.068,0.396,0.078,0.227,1.105,0.201,0.338,0.055,101
SB-105,83,ROH,0_1,0,1,LP,9,0,0.03,5.993961427,6.685860947,0.203,0.19,0.063,0,0,0,0.012,0.034,4.226,0.485,6.68,0,0,0,0,7.87,26.5,0.565,0.339,-0.186,0.118,1.766,4.453,66.642,0.14,24.11,8.4,9.17,0.713,0.026,0.001,4.38,0.043,0.022,0.033,0.157,0.126,0.322,4.14,0.182,0.287,0.005,12
SB-105,85,ROH,1_0,1,0,HP,21,0,0.09,10.15038669,0,0.03,0,0,0,0,0,0,0,0.854,0,1.054,0,0,0,0,6.71,36.42,0.9,0.921,0.758,0.107,1.681,2.932,46.156,0.09,33.75,12,9.978,0.213,0.007,0.044,0.042,4.685,0.027,0.048,1.28,0.068,0.453,1.805,0.15,0.218,0.067,0
SB-105,86,ROL,0_0,0,0,HP,21,0,0.026,0,0,0.004,0,0,0,7.344,0,0,0,0,0,0,0,0,1.003,0,7.39,18.62,0.34,0.215,0.329,0.047,0.69,2.524,37.057,0.07,17.33,6.5,12.183,0.001,0,0,0.014,0,0,0,0.036,0.006,0.118,0.601,0.102,0.053,0.002,0
SB-105,88,ROL,0_1,0,1,LP,9,0,0.088,6.685860947,0,0,0,0,0,9.281,0,0,0,1.035,0.063,1.34,0.054,0,0.44,0,8.48,15.83,0.223,0.091,0.076,0.059,0.867,3.727,54.769,0.12,14.5,5.7,14.221,1.03,0.002,0.001,2.625,0.032,0.026,0.008,0.255,0.083,0.016,3.415,0.253,0.269,0.003,4
SB-105,95,ROL,0_0,0,0,LP,21,0,0,5.993961427,0,0,0,0,0,8.811,0,0,0,0.721,0,0,0,0,2,0,6.34,16.41,0.305,0.265,0.135,0.036,0.717,2.218,43.681,0.08,15.03,6,14.91,0.671,0,6.54,0.138,4.01,0.039,0,0.001,0,0.02,0.007,0.015,0.006,0.001,0
SB-105,99,ROL,1_0,1,0,HP,21,0,0.11,11.72804491,0,0,0,0,0,5.024,0,0,0,0.134,0,0,0,0,1.446,0,8.86,22.55,0.415,0.347,0.498,0.057,0.799,2.541,35.432,0.07,20.9,9.5,21.164,0.409,0.001,0.04,0.022,1.735,0.031,0.003,3.215,0.044,0.546,1.595,0.115,0.117,0.084,0
SB-105,100,ROL,1_0,1,0,LP,21,0,0.088,7.378383713,0,0.045,0,0,0,6.129,0,0,0,0.341,0,0.309,0,0,0,0,7.97,16.47,0.258,0.156,0.143,0.039,0.736,2.356,44.657,0.11,15.4,5.9,13.092,0.338,0.002,1.369,0.034,1.62,0.017,0.01,0.004,0,0.005,0.008,0.001,0,0,0
SB-105,101,ROL,0_1,0,1,HP,9,0,0.066,0,0,0,0,0,0,33.428,0,0,0,1.205,0.001,1.503,0.04,0,2.045,0,6.48,16.67,0.309,0.302,0.189,0.094,0.808,5.639,48.47,0.07,15.18,5.3,9.253,0.22,0,0,0.454,0.003,0.004,0.002,1.75,0.089,0.645,0.964,0.139,0,0.039,8
SB-105,104,ROL,1_1,1,1,LP,9,0,0.365,7.378383713,5.993961427,0.097,0,0,0,7.871,0,0,0.138,1.316,0.116,1.244,0.361,0.068,0.643,0,5.59,15.02,0.286,0.188,-0.079,0.054,0.76,3.595,50.599,0.11,14.41,5.6,13.714,0.573,0.04,0.138,0.029,0.136,0.061,0.025,0.496,0.094,0.36,1.575,0.124,0.704,0.031,7
SB-105,105,ROH,1_1,1,1,LP,21,0,0.62,13.11433322,0,0,0,0.993,0,1.018,0,0,0,3.656,0,3.258,0,0,0.456,0,12.56,30.65,0.548,0.257,-0.44,0.111,2.471,3.618,80.63,0.18,28.21,10.4,11.459,0.62,0.038,0.207,0.078,0.024,0.058,0.069,0.038,0.008,0.212,0.395,0.175,0.355,0.011,0
SB-105,106,ROH,0_1,0,1,HP,9,0,0.077,0,5.993961427,0,0,0,0,0,0,0,0,1.721,0.328,3.527,0,0,0,0,12.08,40.93,0.874,0.633,0.429,0.139,2.19,3.396,53.506,0.13,36.83,13.3,10.606,0.621,0.002,0.001,2.025,0.02,0.03,0.009,1.145,0.001,0.18,0.07,0.066,0.166,0.357,5
SB-105,107,ROH,0_0,0,0,HP,21,0,0.066,0,0,0.099,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,11.93,54.51,1.29,1.234,1.488,0.133,1.866,2.444,34.232,0.08,50.32,24.6,25.042,0.567,0,22.95,0.121,3.3,0.058,0,0.045,0.018,0.015,0.453,0.101,0.065,0.007,0
SB-105,108,ROH,1_1,1,1,LP,9,0,0.434,10.84351434,0,0,0,0,0,0,0,0,0.153,2.575,0,2.896,0,0,0,0,12.52,37.26,0.75,0.43,0.153,0.138,2.08,3.704,55.824,0.14,32.85,13.4,15.894,0.317,0.075,0.15,0.023,0.106,0.034,0.075,2.17,0.014,0.125,0.144,0.081,0.106,0.099,1
SB-105,109,ROH,0_1,0,1,LP,21,0,0.124,8.07121854,5.993961427,0,0,0,0,0,0,0,0,0.697,0,0.876,0,0,0,0,12.18,34.13,0.665,0.359,0.013,0.101,1.756,2.953,51.444,0.19,31.23,13,16.838,0.474,0.002,0.09,6.665,0.036,0.105,0.009,0.246,0.057,0.33,1.735,0.114,0.072,0.004,23
SB-105,110,ROH,1_1,1,1,HP,9,0,0.24,10.84351434,0,0.054,0,0,0,0.974,0,0,0,1.276,0,1.158,0,0,0,0,12.58,41.77,0.885,0.654,0.689,0.163,2.17,3.902,51.951,0.01,36.33,14.9,16.145,0.198,0.012,0.065,0.013,0.012,0.017,0.031,0.005,0,0.015,0.021,0.007,0.16,0.01,0
SB-105,111,ROL,0_1,0,1,HP,21,0,0.234,7.378383713,0,0.005,0,0,0,0.711,0,0,0,0.56,0,0.548,0,0,0.235,0,8.83,20.62,0.357,0.323,0.326,0.073,1.004,3.535,48.705,0.08,18.1,7.6,17.248,0.006,0,0,0.099,0.002,0,0,0.194,0.134,0.331,3.115,0.184,0.001,0.007,31
SB-105,113,ROL,0_1,0,1,LP,9,0,0.243,0,0,0,0,0,1.78,6.828,0,0.431,0.774,3.019,0.076,5.179,0.825,0,1.76,0,9.11,15.3,0.188,0.039,-0.053,0.059,0.99,0,64.706,0.08,13.83,5.1,11.47,0.592,0.006,0,1.5,0.015,0.016,0.009,0.024,0,0.033,0.017,0.02,0.317,0.006,11
SB-105,115,ROL,0_0,0,0,HP,21,0,0.048,5.993961427,0,0,0,0,0,0,0,0,0,0.156,0.099,0.108,0.02,0,0,0,6.38,16.08,0.294,0.188,0.165,0.038,0.562,2.332,34.969,0.06,15.22,5.4,9.892,0.001,0,0,0.002,0.022,0,0,0.056,0,0.036,0.039,0.025,0.008,0.007,0
SB-105,116,ROL,1_1,1,1,HP,21,0,0.803,11.72804491,0,0.284,0.04,0,0,2.037,0,0,0.001,0.899,0.084,0.402,0.084,0,0.048,0,7.66,19.31,0.353,0.366,0.502,0.077,1.168,3.972,60.497,0.09,17.45,6.9,14.482,0.189,0.004,0.117,0.045,0.069,0.019,0.029,0.11,0.01,0.202,0.497,0.138,0.006,0.005,9
SB-105,117,ROL,1_1,1,1,HP,9,0.494,0.684,10.15038669,0,0.949,0,0,0,5.134,0,0,0.606,3.281,0.163,4.277,1.392,0,1.142,0,8.06,17.66,0.291,0.193,0.192,0.102,1.15,5.776,65.119,0.09,15.88,5.4,8.226,0.002,0,0,0.016,0,0,0.001,0.001,0,0.003,0.03,0.002,0.1,0,0
SB-105,119,ROL,1_0,1,0,HP,21,0,0.167,6.685860947,0,0.051,0.43,0,0,3.073,1.317,0,0,0.421,0.042,0.137,0.019,0,0.704,0,7.78,19.08,0.342,0.251,0.203,0.061,0.871,3.181,45.65,0.06,17.73,6.7,12.502,0.005,0,0,0.004,0,0,0,0.001,0,0.001,0,0.006,0,0.001,0
SB-105,120,ROH,0_1,0,1,HP,21,0,0.208,11.72804491,6.685860947,0,0,0,2.381,4.681,0,0,0.816,3.366,0.24,4.809,0.681,0,0.371,0,15.95,54.05,1.155,1.023,1.432,0.365,3.49,6.753,64.57,0.16,49.03,19.9,15.664,0.262,0.005,0.001,1.035,0.018,0.017,0.041,0.264,0.102,0.315,1.665,0.109,0.001,0.004,34
SB-105,121,ROH,1_1,1,1,HP,21,0,0.157,13.11433322,8.764209507,0,0,0,1.743,5.752,0,0,0.33,1.734,0,1.895,0.12,0,0.764,0,15.7,49.39,1.021,0.839,0.91,0.229,2.909,4.637,58.899,0.29,44.46,18.9,17.836,0.351,0.079,0.153,0.013,0.125,0.058,0.292,0.957,0.027,0.195,0.383,0.122,0.11,0.026,6
SB-105,122,ROH,0_0,0,0,HP,21,0,0.006,0,0,0,0.59,0,0,2.936,0,0,0,0.234,0,0.436,0,0,0.641,0,13.52,57.52,1.333,1.133,1.578,0.136,3.689,2.364,64.134,0.23,51.8,25.3,24.991,0.003,0,0,0.006,0,0,0,0.09,0.2,0.276,1.895,0.187,0.14,0.008,0
SB-105,123,ROH,1_1,1,1,LP,9,0,0.356,10.15038669,0,0.095,0.28,1.346,0,0,0,0,0,1.011,0,1.738,0,0,0,0,13.94,34.51,0.623,0.196,-0.285,0.136,2.552,3.941,73.95,0.19,31.8,11.2,9.599,0.415,0.019,0.133,0.025,0.015,0.084,0.075,0.823,0.004,0.213,0.162,0.068,0.476,0.057,1
SB-105,124,ROH,0_1,0,1,LP,9,0,0.067,0,0,0.027,0,0,0,0,0,0,0,1.434,0,1.988,0,0,0,0,18.03,40.04,0.667,0.293,-0.027,0.164,2.311,4.096,57.717,0.3,35.72,14,14.089,0.031,0,0,0.301,0.002,0.001,0.004,2.945,0.1,0.36,0.842,0.104,0.174,0.053,6
SB-105,125,ROH,0_1,0,1,HP,9,0,0.056,12.42118806,0,0.003,0,0,0,0,0,0,0,4.353,0,5.017,0,0,0,0,17.07,50.41,1.01,0.88,0.977,0.228,2.959,4.523,58.699,0.08,45.36,20.2,20.122,0.877,0.015,0,1.795,0.033,0.027,0.028,0.002,0.001,0.019,0.024,0.012,0.242,0.005,33
SB-105,128,ROH,1_0,1,0,LP,21,0,0.197,13.11433322,7.378383713,0,0,0,0,0,0,0,0,0.285,0,0.173,0,0,0,0,12.84,31.75,0.573,0.271,-0.139,0.079,2.158,2.488,67.969,0.15,29.83,11.3,12.606,0.189,0.001,0,0.034,1.915,0.008,0.026,0.425,0.056,0.182,0.558,0.108,0.011,0.046,0
SB-105,129,ROL,0_1,0,1,LP,21,0,0.226,9.457278572,0,0,0.035,0,0,3.975,0,0,0,0.385,0.644,1.165,0.256,0,0,0,7.26,12.98,0.173,0.069,0.073,0.046,0.776,3.544,59.784,0.1,12.19,3.8,5.026,0.492,0,0.023,4.61,0.035,0.05,0.001,0.003,0,0.003,0.006,0.003,0.23,0,44
SB-105,131,ROL,0_0,0,0,LP,21,0,0.002,0,0,0,0,0,0,2.95,0,0,0,0,4.474,0.281,0,0,0,0,5.79,14.02,0.249,0.232,0.14,0.026,0.657,1.854,46.862,0.08,13.39,5.1,12.84,0.001,0,0,0.006,0,0,0,0.042,0.005,0.072,0.226,0.067,0,0.001,0
SB-105,132,ROH,1_1,1,1,LP,21,0,0.494,13.11433322,8.07121854,0,0.83,0,0,3.43,0,0,0,2.78,0,0.133,3.855,0,0.573,0,15.91,32.26,0.495,0.091,-0.575,0.16,2.579,4.96,79.944,0.07,27.54,10.8,14.114,0.155,0.034,0.151,0.009,0.021,0.032,0.129,2.56,0.03,0.378,0.599,0.066,0.075,0.025,2
SB-105,133,ROH,0_1,0,1,HP,9,0,0.018,0,5.993961427,0.025,0,0,0,3.277,2.244,0.605,0,0.663,0.044,7.943,0,0,0,0,15.71,47,0.948,0.708,0.783,0.19,2.639,4.043,56.149,0.06,42.7,17.4,15.847,0.543,0.057,0.176,0.004,0.033,0.074,0.078,0.083,0,0.066,0.011,0.044,0.32,0.043,4
SB-105,135,ROH,0_1,0,1,HP,21,0,0.152,10.15038669,0,0,0,0,0,0,0,4.384,2.473,9.968,0.376,20.805,2.397,0,1.163,0,13.47,55.75,1.281,1.32,1.705,0.26,3.846,4.664,68.987,0.09,48.94,22.7,22.213,0.087,0,0,0.401,0.002,0.001,0.005,0.233,0.003,0.296,0.077,0.046,0.057,0.064,14
SB-105,136,ROH,1_1,1,1,HP,21,0,0.403,13.11433322,0,0,0,0,0,0,0,0,0.016,1.207,0,0,0,0,0,0,13.14,48.81,1.081,0.944,1.048,0.159,2.84,3.258,58.185,0.32,43.19,17.8,16.371,0.092,0.012,0.091,0.038,0.005,0.047,0.069,0.33,0.003,0.158,0.144,0.094,0.294,0.135,2
SB-105,138,ROH,1_0,1,0,HP,21,0,0.068,12.42118806,8.07121854,0,0,0,0,0,0,0,0,0.001,0,0,3.218,0,0,0,15.84,55.11,1.19,1.1,1.355,0.145,3.41,2.631,61.876,0.13,49.06,21.7,19.782,0.042,0,0,0.032,0.526,0.004,0.007,0.33,0.13,0,0.881,0.148,0.23,0.072,0
SB-105,139,ROH,1_1,1,1,HP,9,0,0.26,12.42118806,6.685860947,0.048,0,0,0,0,0,0,0,0.138,0.034,0.096,0.048,0,0,0,13.44,44.68,0.947,0.733,0.698,0.184,2.683,4.107,60.049,0.14,41.55,16.1,13.586,0.367,0.066,0.089,0.018,0.084,0.035,0.126,1.595,0.027,0.312,0.348,0.088,0.315,0.187,1
SB-105,140,ROH,1_0,1,0,HP,21,0,0.092,10.84351434,8.764209507,0,0.125,0,0,0,0,0,0,0.008,0,0,0,0,0,2.901,20.19,56.17,1.09,0.926,1.232,0.136,3.31,0,58.928,0.24,49.06,22.1,20.703,0.006,0,0,0.015,0.232,0,0.003,0.001,0,0.008,0.023,0.003,0.354,0,0
SB-105,144,ROH,1_1,1,1,LP,9,0,0.534,12.42118806,5.993961427,0.003,0.3,0,0,0,0,0,0,0.264,0.025,0.111,0.016,0,0,0,14.72,35.51,0.63,0.242,-0.118,0.14,2.184,3.943,61.504,0.22,32.1,12.5,13.803,0.096,0.016,0.105,0.002,0.012,0.059,0.104,0.003,0,0.003,0.005,0.003,0.407,0,1
SB-105,145,ROH,0_1,0,1,LP,21,0,0.257,9.457278572,6.685860947,0,0,0,0,0,0,0,0,2.326,0,0.005,0,0,1.24,0,20.46,37.02,0.502,0.138,-0.391,0.145,2.234,3.917,60.346,0.18,32.55,13.5,16.666,0.017,0,0,0.454,0.002,0,0.002,0.003,0.001,0.036,0.049,0.014,0,0.005,52
SB-105,147,ROH,1_1,1,1,LP,21,0,0.599,10.15038669,7.378383713,0,0,0,0,0.978,0,0.075,0.036,2.029,0,2.812,0,0,0,0,15.65,34.93,0.584,0.228,-0.299,0.109,1.93,3.121,55.253,0.08,31.45,13.1,16.868,0.151,0.067,0.112,0.012,0.006,0.025,0.092,0.018,0,0.054,0.044,0.034,0.015,0.03,4
SB-105,150,ROH,0_0,0,0,LP,21,0,0.059,0,0,0.001,0,0,0,7.631,0,0,0,0,0,0,0,0,0,0,15.65,41.83,0.793,0.6,0.476,0.086,1.87,2.056,44.705,0.15,37.61,17,20.877,0.002,0,0,0.007,0,0,0,0.01,0.001,0.069,0.039,0.038,0.058,0.004,0
SB-105,151,ROH,1_1,1,1,HP,21,0,0.426,10.15038669,0,0.031,0,0,0,0.971,0,0,0,0.339,0,0,0,0,0,0,13.17,47.33,1.035,0.957,1.042,0.178,2.647,3.761,55.926,0.12,41.72,18.2,19.095,0.529,0.105,0.146,0.011,0.033,0.09,0.132,0.003,0,0.002,0.008,0,0.117,0,0
SB-105,157,ROH,0_0,0,0,HP,21,0,0,8.764209507,6.685860947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,52.69,1.069,1.02,1.595,0.113,2.237,2.145,42.456,0.06,48.98,22.8,22.401,0.001,0,0,0.008,0.693,0,0,0.178,0.073,0.274,0.435,0.084,0,0.01,0
SB-105,158,ROH,1_0,1,0,LP,21,0,0,5.993961427,0,0,0,0,0,0,0,0,0,0.143,0,0.143,0,0,0,0,17.22,42.24,0.758,0.476,0.276,0.095,1.96,2.249,46.402,0.16,38.41,17.1,20.107,0.589,0.029,3.99,0.174,6.945,0.06,0.064,0.171,0.076,0.24,0.373,0.073,0.334,0.019,0
SB-105,162,ROL,1_0,1,0,LP,21,0,0.102,0,0,0,0,0,0,1.794,0,0,0,0.185,0,0.185,0,0,0.695,0,7.98,16,0.243,0.271,0.141,0.04,0.898,2.5,56.125,0.09,14.75,5.4,11.169,0.085,0,0,0.006,0.076,0.003,0.001,0.105,0.092,0.292,1.605,0.105,0.467,0.003,0
SB-105,164,ROL,0_1,0,1,HP,9,0,0.381,0,0,0,0,0,0,0,0,0,0.001,5.746,0,4.324,0.6,0,0.719,0,9.13,17.48,0.253,0.179,0.106,0.116,1.449,6.636,82.895,0.05,16.03,5.3,7.161,0.856,0.014,0.008,3.74,0.096,0.045,0.004,0.972,0.109,0.611,2.025,0.078,0.222,0.045,89
SB-105,165,ROL,0_0,0,0,HP,21,0,0.003,0,7.378383713,0.019,0,0,0,0,0,0.324,0,1.432,0.324,1.432,0,0,0.172,0,9.19,21.21,0.364,0.287,0.399,0.063,0.971,2.97,45.78,0.13,20.05,7.7,13.197,0.001,0,0,0.007,0,0,0,0.084,0.062,0.32,1.93,0.219,0.393,0.002,0
